Per_ID,Occupation,LeaseStart_Dt,LeaseEnd_Dt,LeaseTerm,Unit_ID
82,"Chartered certified accountant","2020-07-01 00:00:00","2024-01-30 00:00:00",42,32
83,"Operational investment banker","2019-05-01 00:00:00","2024-04-30 00:00:00",59,33
84,Metallurgist,"2019-02-01 00:00:00","2022-08-30 00:00:00",42,34
85,"Civil engineer, consulting","2019-03-01 00:00:00","2023-01-30 00:00:00",46,35
86,Comptroller,"2019-01-01 00:00:00","2026-08-30 00:00:00",91,36
87,Solicitor,"2019-04-01 00:00:00","2025-01-30 00:00:00",69,37
88,"Environmental health practitioner","2020-06-01 00:00:00","2025-10-30 00:00:00",64,38
89,"Surveyor, rural practice","2019-06-01 00:00:00","2026-03-30 00:00:00",81,39
90,"Aeronautical engineer","2019-09-01 00:00:00","2023-09-30 00:00:00",48,40
91,"English as a foreign language teacher","2019-06-01 00:00:00","2024-02-28 00:00:00",56,49
92,Midwife,"2019-05-01 00:00:00","2026-01-30 00:00:00",80,50
93,Secretary/administrator,"2019-08-01 00:00:00","2024-01-30 00:00:00",53,51
94,"Publishing rights manager","2020-02-01 00:00:00","2026-09-30 00:00:00",79,52
95,Cartographer,"2019-10-01 00:00:00","2022-10-30 00:00:00",36,53
96,"Nurse, mental health","2019-03-01 00:00:00","2024-11-30 00:00:00",68,54
97,"Product manager","2020-12-01 00:00:00","2023-08-30 00:00:00",32,55
98,"Designer, furniture","2019-02-01 00:00:00","2026-12-30 00:00:00",94,56
99,"Clinical embryologist","2019-09-01 00:00:00","2026-10-30 00:00:00",85,57
100,"Land/geomatics surveyor","2020-06-01 00:00:00","2026-04-30 00:00:00",70,58
101,Dentist,"2020-10-01 00:00:00","2025-05-30 00:00:00",55,59
102,Ranger/warden,"2020-12-01 00:00:00","2023-01-30 00:00:00",25,60
103,"Garment/textile technologist","2019-07-01 00:00:00","2024-05-30 00:00:00",58,61
104,"Therapeutic radiographer","2019-07-01 00:00:00","2023-06-30 00:00:00",47,62
105,"Publishing rights manager","2020-01-01 00:00:00","2023-05-30 00:00:00",40,63
106,"Scientist, research (physical sciences)","2019-03-01 00:00:00","2022-03-30 00:00:00",36,64
107,Counsellor,"2020-03-01 00:00:00","2022-08-30 00:00:00",29,65
108,"Advertising account executive","2020-04-01 00:00:00","2025-04-30 00:00:00",60,66
109,"IT consultant","2020-05-01 00:00:00","2024-11-30 00:00:00",54,67
110,"Transport planner","2019-08-01 00:00:00","2026-03-30 00:00:00",79,68
111,"Local government officer","2020-05-01 00:00:00","2025-06-30 00:00:00",61,69
112,"Research scientist (life sciences)","2019-09-01 00:00:00","2025-07-30 00:00:00",70,70
113,"Technical author","2020-03-01 00:00:00","2022-02-28 00:00:00",23,71
114,Chiropodist,"2020-07-01 00:00:00","2025-10-30 00:00:00",63,72
115,"Applications developer","2019-03-01 00:00:00","2022-11-30 00:00:00",44,73
116,"Engineer, manufacturing","2019-01-01 00:00:00","2026-06-30 00:00:00",89,74
117,Copy,"2019-06-01 00:00:00","2022-10-30 00:00:00",40,75
118,"Hospital pharmacist","2020-05-01 00:00:00","2026-06-30 00:00:00",73,76
119,"Chief Marketing Officer","2019-05-01 00:00:00","2025-09-30 00:00:00",76,77
120,"Engineering geologist","2020-10-01 00:00:00","2026-08-30 00:00:00",70,78
121,"Leisure centre manager","2020-08-01 00:00:00","2022-09-30 00:00:00",25,79
122,"Manufacturing engineer","2019-04-01 00:00:00","2024-08-30 00:00:00",64,80
123,"Consulting civil engineer","2020-07-01 00:00:00","2026-05-30 00:00:00",70,81
124,"Clinical embryologist","2020-01-01 00:00:00","2022-02-28 00:00:00",25,82
125,"General practice doctor","2019-05-01 00:00:00","2023-01-30 00:00:00",44,83
126,"Advertising copywriter","2019-05-01 00:00:00","2026-10-30 00:00:00",89,84
127,"Engineer, energy","2020-01-01 00:00:00","2026-04-30 00:00:00",75,85
128,"Building surveyor","2020-12-01 00:00:00","2022-09-30 00:00:00",21,86
129,"Education officer, community","2019-12-01 00:00:00","2023-05-30 00:00:00",41,87
130,"Exhibition designer","2020-10-01 00:00:00","2026-06-30 00:00:00",68,88
131,"Press photographer","2020-04-01 00:00:00","2023-07-30 00:00:00",39,97
132,"Corporate investment banker","2019-11-01 00:00:00","2026-12-30 00:00:00",85,98
133,"Surveyor, building control","2019-07-01 00:00:00","2023-06-30 00:00:00",47,99
134,"Secondary school teacher","2020-10-01 00:00:00","2025-09-30 00:00:00",59,100
135,"Fisheries officer","2019-02-01 00:00:00","2026-08-30 00:00:00",90,101
136,"Merchant navy officer","2019-08-01 00:00:00","2025-05-30 00:00:00",69,102
137,"Visual merchandiser","2020-11-01 00:00:00","2025-11-30 00:00:00",60,103
138,"Community development worker","2020-08-01 00:00:00","2024-07-30 00:00:00",47,104
139,"Materials engineer","2020-04-01 00:00:00","2023-07-30 00:00:00",39,105
140,"Physiological scientist","2019-11-01 00:00:00","2022-06-30 00:00:00",31,106
141,"Academic librarian","2019-01-01 00:00:00","2024-05-30 00:00:00",64,107
142,"Freight forwarder","2019-03-01 00:00:00","2026-08-30 00:00:00",89,108
143,"Legal executive","2020-06-01 00:00:00","2022-09-30 00:00:00",27,109
144,Administrator,"2020-11-01 00:00:00","2023-03-30 00:00:00",28,110
145,"Engineer, biomedical","2020-08-01 00:00:00","2024-06-30 00:00:00",46,111
146,Administrator,"2019-07-01 00:00:00","2026-06-30 00:00:00",83,112
147,"Doctor, hospital","2019-06-01 00:00:00","2022-11-30 00:00:00",41,113
148,Meteorologist,"2019-02-01 00:00:00","2024-11-30 00:00:00",69,114
149,"Textile designer","2020-09-01 00:00:00","2023-12-30 00:00:00",39,115
150,"Financial planner","2019-06-01 00:00:00","2024-02-28 00:00:00",56,116
151,"Barrister's clerk","2020-03-01 00:00:00","2022-01-30 00:00:00",22,117
152,"Special educational needs teacher","2019-02-01 00:00:00","2026-09-30 00:00:00",91,118
153,"Fish farm manager","2020-12-01 00:00:00","2023-05-30 00:00:00",29,119
154,Solicitor,"2019-06-01 00:00:00","2022-10-30 00:00:00",40,120
155,"Chief Financial Officer","2020-12-01 00:00:00","2025-12-30 00:00:00",60,121
156,"Financial trader","2019-04-01 00:00:00","2026-12-30 00:00:00",92,122
157,"Designer, ceramics/pottery","2019-09-01 00:00:00","2026-05-30 00:00:00",80,123
158,"Environmental consultant","2019-02-01 00:00:00","2022-07-30 00:00:00",41,124
159,"Heritage manager","2020-11-01 00:00:00","2025-02-28 00:00:00",51,125
160,"Investment banker, corporate","2020-04-01 00:00:00","2024-08-30 00:00:00",52,126
161,"Scientist, product/process development","2019-09-01 00:00:00","2023-12-30 00:00:00",51,127
162,"Clinical scientist","2019-09-01 00:00:00","2022-01-30 00:00:00",28,128
163,Psychotherapist,"2020-04-01 00:00:00","2022-05-30 00:00:00",25,129
164,"Engineer, energy","2020-02-01 00:00:00","2025-09-30 00:00:00",67,130
165,"Community development worker","2020-10-01 00:00:00","2026-08-30 00:00:00",70,131
166,"Product manager","2020-10-01 00:00:00","2026-08-30 00:00:00",70,132
167,"Art gallery manager","2019-04-01 00:00:00","2026-06-30 00:00:00",86,133
168,"Automotive engineer","2019-05-01 00:00:00","2024-12-30 00:00:00",67,134
169,"Production designer, theatre/television/film","2020-10-01 00:00:00","2024-01-30 00:00:00",39,135
170,"Engineer, manufacturing","2020-08-01 00:00:00","2026-10-30 00:00:00",74,136
171,"Engineer, communications","2019-12-01 00:00:00","2026-10-30 00:00:00",82,145
172,"Psychologist, prison and probation services","2020-02-01 00:00:00","2023-02-28 00:00:00",36,146
173,"Local government officer","2019-10-01 00:00:00","2023-03-30 00:00:00",41,147
174,"Private music teacher","2020-07-01 00:00:00","2026-02-28 00:00:00",67,148
175,"Research officer, political party","2019-11-01 00:00:00","2022-02-28 00:00:00",27,149
176,"Nutritional therapist","2020-03-01 00:00:00","2022-07-30 00:00:00",28,150
177,"Horticulturist, amenity","2019-03-01 00:00:00","2026-08-30 00:00:00",89,151
178,"Production engineer","2019-08-01 00:00:00","2023-05-30 00:00:00",45,152
179,"Community arts worker","2019-01-01 00:00:00","2023-11-30 00:00:00",58,153
180,"Geologist, wellsite","2020-11-01 00:00:00","2025-06-30 00:00:00",55,154
181,"Intelligence analyst","2019-04-01 00:00:00","2022-09-30 00:00:00",41,155
182,"Further education lecturer","2020-07-01 00:00:00","2026-04-30 00:00:00",69,156
183,"Social research officer, government","2020-01-01 00:00:00","2022-06-30 00:00:00",29,157
184,Gaffer,"2019-10-01 00:00:00","2025-05-30 00:00:00",67,158
185,"Civil engineer, contracting","2019-06-01 00:00:00","2026-11-30 00:00:00",89,159
186,"Psychologist, counselling","2019-10-01 00:00:00","2025-11-30 00:00:00",73,160
187,Firefighter,"2019-05-01 00:00:00","2025-01-30 00:00:00",68,161
188,"Therapist, horticultural","2020-02-01 00:00:00","2024-03-30 00:00:00",49,162
189,"Accountant, chartered management","2019-08-01 00:00:00","2024-05-30 00:00:00",57,163
190,"Office manager","2019-09-01 00:00:00","2022-03-30 00:00:00",30,164
191,"Chartered accountant","2020-11-01 00:00:00","2023-09-30 00:00:00",34,165
192,Actor,"2019-04-01 00:00:00","2022-02-28 00:00:00",34,166
193,"Designer, jewellery","2019-09-01 00:00:00","2022-04-30 00:00:00",31,167
194,Warden/ranger,"2020-08-01 00:00:00","2023-12-30 00:00:00",40,168
195,"Engineer, production","2020-01-01 00:00:00","2026-09-30 00:00:00",80,169
196,"Engineer, aeronautical","2020-07-01 00:00:00","2023-12-30 00:00:00",41,170
197,"Surveyor, mining","2020-11-01 00:00:00","2025-01-30 00:00:00",50,171
198,"Art therapist","2020-11-01 00:00:00","2024-04-30 00:00:00",41,172
199,"Manufacturing systems engineer","2019-03-01 00:00:00","2026-11-30 00:00:00",92,173
200,"Publishing rights manager","2019-03-01 00:00:00","2023-06-30 00:00:00",51,174
201,"Radiographer, therapeutic","2019-06-01 00:00:00","2022-09-30 00:00:00",39,175
202,"Librarian, public","2019-12-01 00:00:00","2022-03-30 00:00:00",27,176
203,"Sound technician, broadcasting/film/video","2020-05-01 00:00:00","2023-09-30 00:00:00",40,177
204,"Drilling engineer","2020-01-01 00:00:00","2024-03-30 00:00:00",50,178
205,"Tour manager","2019-06-01 00:00:00","2024-01-30 00:00:00",55,179
206,"General practice doctor","2020-09-01 00:00:00","2023-01-30 00:00:00",28,180
207,"Pension scheme manager","2020-01-01 00:00:00","2026-11-30 00:00:00",82,181
208,Artist,"2020-12-01 00:00:00","2022-05-30 00:00:00",17,182
209,"Designer, textile","2020-08-01 00:00:00","2026-03-30 00:00:00",67,183
210,"Science writer","2019-12-01 00:00:00","2026-08-30 00:00:00",80,184
211,"Veterinary surgeon","2019-04-01 00:00:00","2024-05-30 00:00:00",61,193
212,"Ship broker","2020-04-01 00:00:00","2025-10-30 00:00:00",66,194
213,"Games developer","2020-12-01 00:00:00","2022-10-30 00:00:00",22,195
214,"Communications engineer","2020-11-01 00:00:00","2023-09-30 00:00:00",34,196
215,"Communications engineer","2020-09-01 00:00:00","2026-05-30 00:00:00",68,197
216,"Charity officer","2020-01-01 00:00:00","2023-03-30 00:00:00",38,198
217,"Chief Financial Officer","2019-02-01 00:00:00","2024-12-30 00:00:00",70,199
218,"Risk analyst","2019-07-01 00:00:00","2025-12-30 00:00:00",77,200
219,"Psychiatric nurse","2020-09-01 00:00:00","2024-06-30 00:00:00",45,201
220,"Engineer, water","2019-09-01 00:00:00","2025-01-30 00:00:00",64,202
221,"Passenger transport manager","2019-04-01 00:00:00","2025-07-30 00:00:00",75,203
222,"Psychologist, clinical","2020-04-01 00:00:00","2025-02-28 00:00:00",58,204
223,Proofreader,"2020-03-01 00:00:00","2026-08-30 00:00:00",77,205
224,"Chief Strategy Officer","2019-03-01 00:00:00","2026-09-30 00:00:00",90,206
225,"Public relations officer","2020-06-01 00:00:00","2026-04-30 00:00:00",70,207
226,Printmaker,"2019-07-01 00:00:00","2024-08-30 00:00:00",61,208
227,"Quality manager","2019-02-01 00:00:00","2026-12-30 00:00:00",94,209
228,"Retail banker","2019-04-01 00:00:00","2023-12-30 00:00:00",56,210
229,"Volunteer coordinator","2020-12-01 00:00:00","2023-12-30 00:00:00",36,211
230,"Research scientist (physical sciences)","2019-01-01 00:00:00","2025-09-30 00:00:00",80,212
231,"Fast food restaurant manager","2019-11-01 00:00:00","2025-11-30 00:00:00",72,213
232,"Surveyor, commercial/residential","2020-04-01 00:00:00","2023-01-30 00:00:00",33,214
233,"Scientist, research (maths)","2020-03-01 00:00:00","2023-03-30 00:00:00",36,215
234,"Race relations officer","2020-11-01 00:00:00","2023-07-30 00:00:00",32,216
235,"Designer, furniture","2020-01-01 00:00:00","2022-02-28 00:00:00",25,217
236,"Technical brewer","2020-05-01 00:00:00","2023-02-28 00:00:00",33,218
237,"Graphic designer","2019-04-01 00:00:00","2026-12-30 00:00:00",92,219
238,"Computer games developer","2019-05-01 00:00:00","2024-10-30 00:00:00",65,220
239,"Engineer, petroleum","2019-11-01 00:00:00","2025-10-30 00:00:00",71,221
240,"Administrator, sports","2020-07-01 00:00:00","2025-10-30 00:00:00",63,222
241,Musician,"2020-03-01 00:00:00","2024-05-30 00:00:00",50,223
242,"Seismic interpreter","2019-02-01 00:00:00","2026-12-30 00:00:00",94,224
243,"Equities trader","2019-08-01 00:00:00","2022-05-30 00:00:00",33,225
244,Bookseller,"2020-07-01 00:00:00","2026-03-30 00:00:00",68,226
245,"Production engineer","2019-07-01 00:00:00","2025-04-30 00:00:00",69,227
246,"Programme researcher, broadcasting/film/video","2020-02-01 00:00:00","2022-07-30 00:00:00",29,228
247,"Theatre manager","2020-03-01 00:00:00","2026-07-30 00:00:00",76,229
248,Lobbyist,"2020-08-01 00:00:00","2024-08-30 00:00:00",48,230
249,"Chartered public finance accountant","2020-08-01 00:00:00","2022-06-30 00:00:00",22,231
250,"Risk manager","2019-08-01 00:00:00","2022-05-30 00:00:00",33,232
251,"Passenger transport manager","2020-05-01 00:00:00","2026-11-30 00:00:00",78,241
252,"Scientist, research (maths)","2020-05-01 00:00:00","2025-02-28 00:00:00",57,242
253,"Exercise physiologist","2019-11-01 00:00:00","2025-10-30 00:00:00",71,243
254,"Nurse, children's","2020-01-01 00:00:00","2026-05-30 00:00:00",76,244
255,"Lighting technician, broadcasting/film/video","2020-03-01 00:00:00","2026-01-30 00:00:00",70,245
256,"Chief Marketing Officer","2019-02-01 00:00:00","2022-04-30 00:00:00",38,246
257,"Civil Service fast streamer","2019-12-01 00:00:00","2022-08-30 00:00:00",32,247
258,"Engineer, maintenance (IT)","2019-05-01 00:00:00","2025-03-30 00:00:00",70,248
259,"Investment analyst","2020-04-01 00:00:00","2026-05-30 00:00:00",73,249
260,"Community education officer","2020-06-01 00:00:00","2026-07-30 00:00:00",73,250
261,"Therapist, drama","2019-01-01 00:00:00","2025-01-30 00:00:00",72,251
262,Ecologist,"2020-07-01 00:00:00","2024-07-30 00:00:00",48,252
263,"Estate agent","2019-03-01 00:00:00","2022-09-30 00:00:00",42,253
264,Make,"2020-01-01 00:00:00","2022-04-30 00:00:00",27,254
265,"Civil engineer, contracting","2019-06-01 00:00:00","2022-01-30 00:00:00",31,255
266,"Solicitor, Scotland","2019-05-01 00:00:00","2022-09-30 00:00:00",40,256
267,Lobbyist,"2019-08-01 00:00:00","2026-09-30 00:00:00",85,257
268,"Field trials officer","2020-08-01 00:00:00","2023-10-30 00:00:00",38,258
269,"Civil engineer, contracting","2019-05-01 00:00:00","2026-03-30 00:00:00",82,259
270,"Advertising art director","2020-07-01 00:00:00","2026-08-30 00:00:00",73,260
271,"Surveyor, insurance","2020-02-01 00:00:00","2025-10-30 00:00:00",68,274
272,"Medical secretary","2019-01-01 00:00:00","2025-07-30 00:00:00",78,275
273,"Scientist, water quality","2020-07-01 00:00:00","2023-04-30 00:00:00",33,276
274,Metallurgist,"2019-06-01 00:00:00","2026-10-30 00:00:00",88,277
275,"Nurse, mental health","2020-01-01 00:00:00","2025-02-28 00:00:00",61,278
276,"Regulatory affairs officer","2020-07-01 00:00:00","2022-05-30 00:00:00",22,279
277,"Special educational needs teacher","2019-07-01 00:00:00","2026-09-30 00:00:00",86,280
278,"Community pharmacist","2019-10-01 00:00:00","2026-09-30 00:00:00",83,281
279,"Hospital doctor","2019-01-01 00:00:00","2023-10-30 00:00:00",57,282
280,"Facilities manager","2019-12-01 00:00:00","2025-07-30 00:00:00",67,283
281,Illustrator,"2020-05-01 00:00:00","2024-05-30 00:00:00",48,284
282,"Drilling engineer","2020-02-01 00:00:00","2023-10-30 00:00:00",44,285
283,"Print production planner","2020-06-01 00:00:00","2022-05-30 00:00:00",23,286
284,Archaeologist,"2020-11-01 00:00:00","2022-03-30 00:00:00",16,287
285,"Editor, film/video","2019-04-01 00:00:00","2026-08-30 00:00:00",88,288
286,"Travel agency manager","2019-10-01 00:00:00","2023-09-30 00:00:00",47,289
287,"Careers adviser","2020-04-01 00:00:00","2026-02-28 00:00:00",70,290
288,Dealer,"2020-06-01 00:00:00","2025-11-30 00:00:00",65,291
289,"Customer service manager","2019-01-01 00:00:00","2026-03-30 00:00:00",86,292
290,Chiropractor,"2020-01-01 00:00:00","2023-02-28 00:00:00",37,293
291,"Newspaper journalist","2019-10-01 00:00:00","2022-12-30 00:00:00",38,307
292,Geochemist,"2020-02-01 00:00:00","2022-02-28 00:00:00",24,308
293,"Designer, interior/spatial","2019-03-01 00:00:00","2024-12-30 00:00:00",69,309
294,"Call centre manager","2019-08-01 00:00:00","2024-10-30 00:00:00",62,310
295,"Hotel manager","2019-10-01 00:00:00","2025-08-30 00:00:00",70,311
296,"Public relations officer","2020-11-01 00:00:00","2025-04-30 00:00:00",53,312
297,"Dance movement psychotherapist","2020-03-01 00:00:00","2026-08-30 00:00:00",77,313
298,"Textile designer","2019-07-01 00:00:00","2024-05-30 00:00:00",58,314
299,"Early years teacher","2019-03-01 00:00:00","2022-09-30 00:00:00",42,315
300,"Teacher, secondary school","2019-08-01 00:00:00","2022-09-30 00:00:00",37,316
301,"Tree surgeon","2019-02-01 00:00:00","2022-10-30 00:00:00",44,317
302,"General practice doctor","2020-12-01 00:00:00","2024-11-30 00:00:00",47,318
303,"Speech and language therapist","2019-05-01 00:00:00","2025-06-30 00:00:00",73,319
304,"Magazine features editor","2019-05-01 00:00:00","2024-08-30 00:00:00",63,320
305,"Engineer, petroleum","2020-07-01 00:00:00","2023-11-30 00:00:00",40,321
306,"Doctor, general practice","2019-02-01 00:00:00","2023-07-30 00:00:00",53,322
307,"English as a foreign language teacher","2020-06-01 00:00:00","2023-06-30 00:00:00",36,323
308,"Geologist, wellsite","2019-02-01 00:00:00","2025-11-30 00:00:00",81,324
309,"Lecturer, higher education","2019-07-01 00:00:00","2026-10-30 00:00:00",87,325
310,"Journalist, newspaper","2020-11-01 00:00:00","2026-10-30 00:00:00",71,326
311,"Psychologist, occupational","2020-10-01 00:00:00","2026-01-30 00:00:00",63,340
312,"Geophysical data processor","2020-03-01 00:00:00","2025-08-30 00:00:00",65,341
313,"Fashion designer","2020-04-01 00:00:00","2025-08-30 00:00:00",64,342
314,"Call centre manager","2019-01-01 00:00:00","2026-07-30 00:00:00",90,343
315,"Teaching laboratory technician","2019-07-01 00:00:00","2026-12-30 00:00:00",89,344
316,"Designer, textile","2019-06-01 00:00:00","2024-05-30 00:00:00",59,345
317,"Geneticist, molecular","2020-02-01 00:00:00","2025-09-30 00:00:00",67,346
318,"Chartered accountant","2019-02-01 00:00:00","2025-09-30 00:00:00",79,347
319,"Newspaper journalist","2020-01-01 00:00:00","2023-10-30 00:00:00",45,348
320,"Engineer, maintenance","2019-05-01 00:00:00","2026-01-30 00:00:00",80,349
321,"Health promotion specialist","2020-09-01 00:00:00","2026-05-30 00:00:00",68,350
322,"Event organiser","2020-04-01 00:00:00","2023-12-30 00:00:00",44,351
323,"Producer, television/film/video","2019-12-01 00:00:00","2025-12-30 00:00:00",72,352
324,Oceanographer,"2019-08-01 00:00:00","2022-10-30 00:00:00",38,353
325,Photographer,"2019-08-01 00:00:00","2023-11-30 00:00:00",51,354
326,"Market researcher","2020-04-01 00:00:00","2022-12-30 00:00:00",32,355
327,"Building services engineer","2020-06-01 00:00:00","2022-04-30 00:00:00",22,356
328,"Professor Emeritus","2020-06-01 00:00:00","2023-04-30 00:00:00",34,357
329,Solicitor,"2019-04-01 00:00:00","2022-09-30 00:00:00",41,358
330,"Insurance underwriter","2020-04-01 00:00:00","2022-04-30 00:00:00",24,359
331,Printmaker,"2020-07-01 00:00:00","2025-04-30 00:00:00",57,373
332,"Accommodation manager","2019-04-01 00:00:00","2025-12-30 00:00:00",80,374
333,"Museum/gallery exhibitions officer","2019-11-01 00:00:00","2023-10-30 00:00:00",47,375
334,"Physiological scientist","2019-04-01 00:00:00","2023-12-30 00:00:00",56,376
335,"Programmer, applications","2019-01-01 00:00:00","2024-04-30 00:00:00",63,377
336,Administrator,"2020-12-01 00:00:00","2024-04-30 00:00:00",40,378
337,"Learning disability nurse","2019-05-01 00:00:00","2023-04-30 00:00:00",47,379
338,"Wellsite geologist","2020-09-01 00:00:00","2024-07-30 00:00:00",46,380
339,"Dance movement psychotherapist","2020-01-01 00:00:00","2022-08-30 00:00:00",31,381
340,"Chartered public finance accountant","2020-07-01 00:00:00","2022-02-28 00:00:00",19,382
341,Chiropractor,"2019-12-01 00:00:00","2023-03-30 00:00:00",39,383
342,"Patent examiner","2019-11-01 00:00:00","2026-06-30 00:00:00",79,384
343,"Engineer, biomedical","2019-11-01 00:00:00","2023-02-28 00:00:00",39,385
344,"Investment banker, operational","2019-10-01 00:00:00","2025-06-30 00:00:00",68,386
345,"Lecturer, higher education","2020-01-01 00:00:00","2022-02-28 00:00:00",25,387
346,"Physicist, medical","2019-03-01 00:00:00","2023-06-30 00:00:00",51,388
347,"Location manager","2020-10-01 00:00:00","2026-07-30 00:00:00",69,389
348,"Surveyor, building","2019-05-01 00:00:00","2022-10-30 00:00:00",41,390
349,Dietitian,"2020-03-01 00:00:00","2023-08-30 00:00:00",41,391
350,"Chief Strategy Officer","2020-02-01 00:00:00","2023-09-30 00:00:00",43,392
351,Geochemist,"2020-06-01 00:00:00","2024-08-30 00:00:00",50,406
352,"Editor, film/video","2019-07-01 00:00:00","2022-03-30 00:00:00",32,407
353,"Chief Technology Officer","2020-04-01 00:00:00","2022-03-30 00:00:00",23,408
354,"Computer games developer","2020-06-01 00:00:00","2023-11-30 00:00:00",41,409
355,"Geologist, engineering","2020-05-01 00:00:00","2022-01-30 00:00:00",20,410
356,"Adult nurse","2019-08-01 00:00:00","2026-05-30 00:00:00",81,411
357,"Public librarian","2020-07-01 00:00:00","2023-05-30 00:00:00",34,412
358,"Geologist, engineering","2019-05-01 00:00:00","2026-01-30 00:00:00",80,413
359,"Data processing manager","2020-06-01 00:00:00","2022-10-30 00:00:00",28,414
360,"Scientist, physiological","2019-02-01 00:00:00","2022-05-30 00:00:00",39,415
361,"Games developer","2020-06-01 00:00:00","2022-11-30 00:00:00",29,416
362,"Marketing executive","2019-07-01 00:00:00","2022-12-30 00:00:00",41,417
363,"Higher education careers adviser","2019-04-01 00:00:00","2022-06-30 00:00:00",38,418
364,Oceanographer,"2019-04-01 00:00:00","2025-06-30 00:00:00",74,419
365,"Garment/textile technologist","2020-12-01 00:00:00","2022-06-30 00:00:00",18,420
366,"Fashion designer","2019-05-01 00:00:00","2022-07-30 00:00:00",38,421
367,"Chartered certified accountant","2020-12-01 00:00:00","2023-01-30 00:00:00",25,422
368,"Engineer, automotive","2019-10-01 00:00:00","2024-03-30 00:00:00",53,423
369,"Social research officer, government","2020-12-01 00:00:00","2026-01-30 00:00:00",61,424
370,"Psychologist, prison and probation services","2020-08-01 00:00:00","2025-08-30 00:00:00",60,425
371,"Emergency planning/management officer","2019-08-01 00:00:00","2022-02-28 00:00:00",30,439
372,"Risk analyst","2020-12-01 00:00:00","2025-08-30 00:00:00",56,440
373,"Retail buyer","2020-03-01 00:00:00","2023-10-30 00:00:00",43,441
374,"Health promotion specialist","2019-03-01 00:00:00","2025-05-30 00:00:00",74,442
375,"Doctor, hospital","2020-12-01 00:00:00","2026-01-30 00:00:00",61,443
376,"Landscape architect","2020-10-01 00:00:00","2026-05-30 00:00:00",67,444
377,"Geophysical data processor","2019-01-01 00:00:00","2024-01-30 00:00:00",60,445
378,"Chartered management accountant","2020-03-01 00:00:00","2022-12-30 00:00:00",33,446
379,"Brewing technologist","2020-02-01 00:00:00","2022-05-30 00:00:00",27,447
380,"Designer, jewellery","2020-07-01 00:00:00","2024-05-30 00:00:00",46,448
381,"Animal technologist","2019-04-01 00:00:00","2026-03-30 00:00:00",83,449
382,Lawyer,"2019-08-01 00:00:00","2024-04-30 00:00:00",56,450
383,"Learning disability nurse","2019-05-01 00:00:00","2025-09-30 00:00:00",76,451
384,"Warehouse manager","2020-11-01 00:00:00","2026-05-30 00:00:00",66,452
385,"Medical sales representative","2020-09-01 00:00:00","2022-03-30 00:00:00",18,453
386,"Interior and spatial designer","2019-11-01 00:00:00","2024-08-30 00:00:00",57,454
